rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,Num Cands,Num Seats
49,17,16,76,43,8,76,12,76,42,27,36,9,51,14,76,41,24,3,76,12,7,76,14,21,45,41,29,54,18,50,23,5,52,53,32,46,38,76,76,6,29,37,40,76,25,76,22,76,48,11,31,49,22,4,30,39,2,76,10,26,26,13,76,1,76,35,76,22,19,21,76,41,4,27,18,,
76,76,76,76,76,14,76,76,76,76,76,76,15,76,7,76,76,76,3,76,13,76,76,76,76,76,76,76,76,76,76,10,3,76,76,76,76,16,76,76,7,76,76,76,76,76,76,76,76,76,7,76,76,76,5,76,76,1,76,10,76,76,5,76,1,76,76,76,76,11,76,76,76,76,76,76,,
76,13,76,76,76,10,76,76,76,76,76,76,10,26,11,76,76,76,9,76,11,13,76,76,13,15,76,76,13,76,76,10,5,76,76,76,76,76,76,76,7,16,13,76,76,20,76,76,76,76,8,12,76,76,3,18,76,4,76,2,76,76,6,76,1,76,76,76,76,12,76,76,76,9,76,76,,
76,48,20,76,76,15,51,76,76,76,38,24,14,28,10,76,29,46,6,76,9,12,76,19,27,16,76,76,47,45,50,11,3,76,40,76,43,26,76,76,12,34,30,36,76,22,52,41,76,23,7,17,76,33,5,42,35,2,76,8,49,39,4,76,1,44,76,37,31,13,76,76,Skipped,32,25,18,,
74,45,22,48,60,11,28,43,73,65,34,39,18,32,10,59,36,31,4,76,14,19,63,8,22,17,72,67,56,38,24,13,7,53,46,58,71,49,68,70,15,44,29,40,35,21,54,30,69,37,9,26,55,41,5,61,27,1,57,12,64,33,3,76,2,20,62,51,50,6,52,66,47,16,42,25,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,4,76,76,76,76,76,76,76,76,76,76,76,76,76,6,76,76,76,76,76,76,76,9,76,76,76,76,76,76,76,76,76,8,76,76,76,3,76,76,2,76,10,76,76,7,76,1,76,76,76,76,76,76,76,76,5,76,76,,
64,30,23,41,60,11,Skipped,55,Skipped,53,35,52,14,33,14,65,28,21,6,62,13,17,46,16,39,26,38,45,Skipped,30,44,11,4,39,48,Skipped,50,27,57,Skipped,7,29,18,54,43,22,Skipped,25,63,31,10,20,Skipped,58,5,47,40,1,61,7,37,24,3,Skipped,2,56,34,Skipped,42,7,51,Skipped,49,32,36,19,,
76,36,19,48,76,10,76,76,76,76,42,34,19,39,9,19,31,75,6,76,19,13,76,19,30,15,76,47,76,35,38,6,4,76,76,76,76,34,76,76,8,39,45,21,76,20,76,41,76,20,7,23,76,50,3,44,43,1,76,10,40,22,5,76,1,44,76,76,40,17,76,43,41,24,28,18,,
66,27,31,60,69,13,58,59,76,63,29,33,16,28,18,65,40,35,6,75,15,11,48,14,19,20,73,46,43,44,50,10,5,52,41,73,54,23,74,68,8,30,34,32,67,24,62,45,56,25,12,17,73,51,4,49,53,2,57,7,37,21,3,73,1,42,47,38,36,9,64,61,26,39,55,22,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
76,76,76,76,76,11,76,76,76,76,76,76,76,76,76,76,76,76,8,76,12,14,76,76,76,76,76,76,76,76,76,13,5,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,76,76,7,76,76,76,3,76,76,2,76,6,76,76,4,76,1,76,76,76,76,15,76,76,76,9,76,76,,
Skipped,44,35,37,Skipped,13,Skipped,Skipped,Skipped,Skipped,22,34,12,38,10,Skipped,Skipped,44,5,Skipped,9,14,Skipped,15,Skipped,36,Skipped,Skipped,50,50,Skipped,16,7,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,11,43,43,Skipped,Skipped,23,Skipped,19,Skipped,Skipped,6,20,Skipped,42,4,Skipped,Skipped,2,Skipped,8,39,25,3,Skipped,1,38,Skipped,41,40,12,Skipped,Skipped,Skipped,Skipped,76,18,,
74,41,19,46,50,11,60,36,35,37,39,27,13,43,10,71,48,28,7,45,17,12,61,18,20,47,62,69,33,23,26,9,4,63,34,57,25,29,70,56,14,21,54,59,32,44,68,75,65,49,6,15,73,31,3,30,67,2,66,8,53,22,5,55,1,38,72,52,51,16,64,40,42,21,24,58,,
76,57,24,57,76,76,76,76,76,76,76,31,9,34,76,76,76,76,76,76,9,76,76,19,76,31,76,76,76,38,76,10,5,76,76,76,63,76,76,76,9,64,76,76,76,58,76,38,76,76,5,36,76,76,4,76,66,1,69,4,38,76,2,76,3,76,76,75,76,6,76,76,20,31,65,76,,
Skipped,36,20,Skipped,Skipped,17,64,44,Skipped,Skipped,46,39,14,34,8,Skipped,36,60,6,Skipped,17,13,56,18,38,26,Skipped,Skipped,57,43,Skipped,11,4,Skipped,50,Skipped,Skipped,37,Skipped,Skipped,8,30,46,58,45,25,Skipped,Skipped,59,28,9,23,Skipped,59,3,42,35,2,58,10,36,21,3,Skipped,1,55,36,62,60,11,Skipped,Skipped,48,36,24,18,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,2,76,76,76,76,76,76,1,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
76,76,76,76,76,13,76,76,76,76,76,76,76,76,76,76,76,76,3,76,21,12,76,76,76,76,76,70,76,76,76,18,5,76,76,76,71,76,76,76,5,36,76,76,76,76,76,76,76,76,6,76,76,76,8,76,70,2,76,11,76,76,20,76,1,76,76,76,76,9,76,76,59,76,76,76,,
76,76,76,76,76,76,76,76,76,76,76,76,76,8,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,5,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,6,76,76,76,76,2,76,76,76,76,76,76,76,76,76,76,76,76,76,,
73,70,65,73,73,49,73,73,73,73,73,61,71,73,63,73,73,73,50,73,52,54,73,62,69,73,73,73,73,73,73,53,58,76,57,73,73,73,73,73,60,73,73,73,73,67,73,73,73,73,51,56,73,68,64,73,73,1,73,48,73,73,59,73,2,74,73,75,73,55,73,73,73,72,73,66,,
Skipped,44,58,28,Skipped,14,Skipped,76,Skipped,26,Skipped,25,15,23,10,76,25,24,3,Skipped,8,12,Skipped,20,18,18,Skipped,22,18,27,38,6,3,Skipped,25,76,23,21,76,76,7,22,Skipped,25,76,16,Skipped,20,27,Skipped,13,26,Skipped,21,2,23,20,1,Skipped,8,20,18,3,Skipped,2,Skipped,39,Skipped,20,19,26,38,20,12,53,15,,
76,23,23,76,76,13,76,45,27,76,76,33,10,20,12,76,38,28,8,44,14,15,76,11,18,19,76,39,36,22,76,13,9,76,37,25,76,29,76,76,6,24,32,46,34,27,76,76,76,41,7,21,76,76,3,43,31,2,76,4,30,18,5,40,1,76,26,76,42,16,76,76,76,35,26,24,,
42,38,24,49,47,8,46,46,52,46,40,31,18,25,16,55,21,42,6,51,14,11,42,17,20,25,53,44,40,36,50,9,4,26,37,50,45,16,52,54,13,35,41,40,40,15,43,50,51,34,7,23,51,41,3,33,19,2,40,10,33,22,5,52,1,27,17,32,30,22,39,47,31,12,36,29,,
76,76,15,76,76,19,76,76,76,76,76,76,12,76,10,76,76,76,6,76,18,13,76,16,76,23,76,76,76,76,76,11,4,76,76,76,76,76,76,76,14,76,76,76,76,17,76,76,76,76,8,76,76,76,2,76,76,1,76,7,76,76,5,76,3,22,76,76,76,9,76,76,76,21,76,20,,
64,36,22,31,47,16,39,26,57,59,50,55,21,43,12,76,38,60,7,73,15,19,63,13,41,18,32,71,54,30,8,11,3,53,49,58,66,65,25,70,9,37,51,40,35,42,68,33,52,20,10,27,29,75,6,72,74,1,56,14,62,46,2,24,4,67,48,28,44,5,69,23,45,61,17,34,,
76,20,19,76,76,13,76,76,76,36,76,27,9,26,11,76,22,76,4,76,15,14,76,17,35,30,76,43,39,76,76,10,3,76,76,76,45,28,76,76,8,24,29,41,76,18,76,34,76,32,12,31,76,40,5,23,37,2,76,6,76,42,7,76,1,76,33,76,38,16,76,44,76,25,76,21,,
55,43,20,70,72,13,50,39,74,45,46,51,12,25,11,47,54,53,3,67,10,18,66,15,62,26,65,49,37,61,28,14,5,36,48,60,41,24,75,56,6,31,35,38,44,29,76,59,73,17,9,21,58,57,4,71,27,2,63,8,69,23,6,64,1,34,42,40,32,16,68,33,30,22,52,19,,
59,31,37,75,54,17,42,56,76,60,23,22,12,18,13,73,47,28,3,74,8,10,41,44,34,38,62,61,40,52,50,15,6,54,35,64,48,20,69,63,9,49,43,33,72,19,71,24,53,57,11,27,67,21,5,46,29,2,68,7,30,25,4,70,1,32,58,36,45,14,55,67,39,26,33,16,,
52,31,14,43,40,11,44,25,57,55,32,22,8,22,10,60,36,38,5,53,18,10,45,13,23,17,51,37,46,28,32,4,3,47,37,58,48,19,54,59,11,27,24,39,Skipped,20,33,34,33,12,6,15,53,50,3,38,29,2,56,16,42,19,9,53,1,33,61,38,30,7,41,49,Skipped,23,21,26,,
72,37,19,58,60,15,54,44,76,67,41,34,16,27,6,75,31,48,7,74,12,8,40,13,20,21,70,51,63,33,53,11,4,55,52,62,57,32,65,71,10,29,38,50,42,23,66,43,69,24,9,28,73,46,5,49,25,1,39,17,47,22,3,61,2,64,36,56,35,14,68,59,45,30,26,18,,
68,28,20,65,33,17,59,62,61,58,56,21,16,45,11,71,27,44,6,60,14,5,76,15,38,25,64,66,48,29,47,4,8,53,49,31,43,41,74,69,13,50,26,23,70,37,42,36,75,57,3,19,73,46,2,32,40,1,67,7,54,24,9,55,12,63,30,52,39,10,35,72,51,22,34,18,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,2,76,76,7,76,76,76,8,76,76,76,76,3,76,1,76,76,76,10,4,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,5,76,76,76,6,76,76,76,76,76,76,11,9,76,76,76,76,76,76,76,76,76,76,,
Skipped,35,26,37,Skipped,10,Skipped,Skipped,Skipped,Skipped,38,30,11,32,7,Skipped,40,Skipped,8,Skipped,15,17,Skipped,18,29,20,Skipped,Skipped,Skipped,38,Skipped,13,3,Skipped,Skipped,Skipped,Skipped,41,Skipped,Skipped,9,29,27,Skipped,23,31,Skipped,22,Skipped,19,14,27,Skipped,39,5,Skipped,34,1,Skipped,6,42,21,4,Skipped,2,25,Skipped,36,33,12,Skipped,Skipped,31,28,24,16,,
Skipped,23,10,Skipped,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,17,Skipped,30,43,9,Skipped,15,21,Skipped,27,36,20,39,38,45,Skipped,18,28,7,24,Skipped,Skipped,16,26,Skipped,Skipped,4,19,Skipped,22,35,44,Skipped,29,Skipped,30,14,38,Skipped,41,1,Skipped,Skipped,1,Skipped,5,Skipped,34,6,Skipped,1,25,30,Skipped,42,13,Skipped,Skipped,40,11,Skipped,12,,
46,34,35,62,57,13,43,Skipped,57,65,24,18,11,14,10,Skipped,36,44,7,Skipped,28,6,60,31,40,6,39,61,42,50,Skipped,15,2,Skipped,34,42,23,18,45,Skipped,8,16,25,41,29,9,51,64,Skipped,25,10,19,Skipped,48,5,47,26,4,63,12,52,49,1,Skipped,3,36,17,Skipped,38,15,20,22,37,27,30,21,,
76,36,18,48,45,15,58,47,76,73,45,25,18,40,7,63,38,58,3,76,10,8,40,12,47,16,76,71,44,33,51,10,5,69,67,60,57,22,55,76,10,33,31,39,48,30,50,50,68,42,12,19,76,50,5,39,70,1,52,12,25,25,3,76,2,44,17,63,69,13,61,40,45,32,25,23,,
76,76,76,76,76,30,76,76,76,76,25,76,48,76,20,76,76,76,25,76,50,47,76,8,76,76,76,76,76,76,76,29,5,76,76,76,76,76,76,76,18,76,76,76,76,76,76,76,76,76,37,76,76,76,20,76,76,1,76,76,76,76,7,76,10,76,76,76,76,32,76,76,76,76,76,31,,
27,16,36,67,63,26,58,51,68,21,48,24,18,19,13,38,37,32,7,50,12,8,65,35,11,34,49,41,39,55,39,14,5,31,21,36,28,38,62,59,9,39,36,29,44,20,66,37,42,31,10,15,61,52,3,60,64,1,53,4,56,25,6,54,2,43,23,47,30,33,46,45,57,40,17,22,,
65,67,76,73,24,12,57,30,69,33,41,37,11,20,15,48,72,58,7,40,10,14,63,18,34,16,62,26,59,46,31,13,3,51,60,54,21,36,29,53,6,71,66,17,49,32,64,44,50,28,23,70,75,25,4,68,55,2,42,8,61,22,5,74,1,35,47,27,39,19,56,52,45,38,43,9,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
70,30,16,50,40,17,30,60,70,70,50,20,14,20,8,60,20,40,5,70,15,12,50,30,20,18,60,50,50,30,60,7,6,50,30,40,60,40,76,70,11,30,20,30,50,20,70,40,60,20,10,19,50,70,2,40,50,1,60,9,40,20,3,70,4,40,60,40,20,13,40,60,20,50,30,13,,
40,23,30,61,47,25,35,30,30,76,50,25,17,35,17,76,57,45,15,50,29,25,45,22,50,30,76,46,60,29,70,20,10,70,40,35,Skipped,50,70,62,10,38,39,40,40,30,45,65,41,45,18,16,60,75,1,55,40,5,41,30,40,25,20,76,20,20,45,30,45,26,75,76,50,25,29,60,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
58,38,19,55,52,12,66,37,74,63,27,20,10,41,11,76,31,53,6,73,14,16,44,13,49,28,50,60,70,30,34,17,5,54,64,56,71,32,57,72,7,33,23,43,61,21,67,36,75,29,9,22,62,35,4,46,51,3,59,8,45,25,1,68,2,39,40,48,42,15,65,69,47,24,26,18,,
Skipped,24,30,Skipped,59,13,Skipped,Skipped,Skipped,43,Skipped,39,11,28,25,Skipped,22,53,2,50,10,32,38,9,33,37,Skipped,51,Skipped,26,45,16,3,Skipped,42,Skipped,46,41,Skipped,Skipped,14,22,17,27,34,47,54,48,Skipped,31,8,11,25,18,5,44,36,6,57,12,29,21,4,Skipped,1,7,52,20,40,23,35,58,Skipped,49,19,56,,
70,57,15,56,58,11,64,20,46,73,47,22,54,69,9,65,53,62,5,55,18,12,76,19,49,16,74,38,45,61,13,10,6,52,29,32,25,23,75,42,7,31,26,50,33,40,60,48,44,41,14,51,75,59,3,63,24,2,74,8,72,27,4,46,1,76,76,68,73,21,28,43,71,30,17,37,,
Skipped,35,17,48,35,8,Skipped,35,59,67,29,30,16,20,7,70,30,35,4,59,17,11,59,20,35,20,59,59,48,20,20,11,5,35,51,51,51,35,70,70,8,30,30,51,35,20,35,35,59,30,8,27,67,67,5,59,51,1,70,14,35,17,1,35,3,51,35,51,51,11,59,70,48,20,27,14,,
75,33,23,75,75,15,50,61,75,75,44,41,14,31,11,75,52,42,6,75,16,10,60,17,34,24,64,53,51,35,30,13,7,46,47,62,36,29,63,75,12,25,27,32,59,18,58,43,75,22,9,21,75,39,4,57,35,1,75,8,55,28,5,54,2,26,47,56,37,10,48,75,45,20,37,19,,
65,37,11,73,52,16,59,68,72,58,27,31,19,39,13,76,32,53,5,50,24,6,70,23,21,17,69,54,61,47,34,20,2,33,43,64,51,30,71,67,10,28,26,44,62,29,60,25,74,38,14,15,75,36,3,40,48,1,57,9,56,18,12,35,4,55,46,63,49,7,66,45,42,8,41,22,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,76,76,76,76,76,76,76,76,,
69,62,66,70,67,35,69,65,60,66,34,57,68,56,16,68,69,18,4,69,69,16,69,76,69,56,64,66,34,69,60,34,3,69,35,65,58,20,72,67,7,64,69,69,52,56,69,1,69,56,8,54,53,69,4,69,60,2,68,10,76,34,4,63,2,59,66,64,61,11,52,41,63,51,67,16,,
76,27,76,76,76,17,76,76,21,76,76,76,11,23,7,76,76,76,5,76,14,15,76,16,30,76,76,76,76,76,76,13,4,76,76,76,76,28,76,76,9,22,24,76,76,25,76,76,76,18,8,76,76,76,2,76,26,3,76,12,76,19,6,76,1,76,76,76,29,10,76,76,76,76,20,76,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,76,76,76,2,76,76,76,76,76,76,76,76,76,76,76,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,2,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
54,38,19,68,53,14,57,55,75,62,32,24,13,22,8,74,33,56,6,72,12,15,45,17,42,26,60,59,70,37,28,16,5,44,58,63,69,25,66,73,7,34,30,43,47,18,71,46,76,29,11,23,64,49,4,51,50,3,48,9,40,31,1,65,2,41,52,39,36,10,61,67,35,27,21,20,,
73,76,76,76,49,12,55,51,76,76,41,54,16,20,6,43,76,36,15,42,11,17,76,22,30,35,76,76,37,50,46,10,4,38,34,76,53,25,74,76,9,27,24,29,44,19,76,70,76,39,8,18,76,31,2,47,14,5,76,7,52,26,3,76,1,40,76,28,23,13,45,76,32,33,48,21,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,
61,41,26,43,40,7,75,40,75,63,29,45,14,39,4,74,41,50,7,74,19,10,75,10,50,14,71,74,60,18,51,12,7,75,40,47,75,29,55,75,3,41,41,49,21,39,75,30,75,45,19,21,71,60,5,57,40,1,70,10,48,23,4,71,2,66,39,53,45,18,30,70,50,14,24,30,,
76,76,76,76,33,76,76,76,76,76,76,76,76,76,22,76,76,76,5,76,14,76,76,76,28,76,76,76,76,76,76,76,76,76,76,76,76,76,24,76,76,76,76,44,76,76,76,76,76,76,76,76,76,76,3,76,76,2,76,12,76,76,6,76,1,76,76,76,76,76,76,76,76,6,76,76,,
76,76,20,76,76,11,76,76,76,76,76,76,16,Skipped,14,76,76,76,3,76,8,10,76,17,25,18,76,76,76,76,Skipped,15,5,76,76,76,Skipped,76,76,76,13,76,76,76,76,24,76,76,76,21,7,76,76,Skipped,3,76,Skipped,2,76,9,76,22,4,76,1,76,76,Skipped,Skipped,12,76,76,Skipped,19,76,23,,
50,75,75,56,75,21,76,75,56,56,35,50,75,4,75,75,33,21,50,50,7,24,33,75,6,33,56,34,21,50,75,21,21,16,21,75,22,24,75,75,50,33,33,10,75,5,33,56,34,50,50,50,50,23,59,50,51,2,59,3,33,21,16,59,1,24,75,17,57,50,50,75,60,16,25,56,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,60,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,62,76,76,76,,
67,26,20,57,48,14,40,46,64,45,28,29,15,32,11,69,27,32,6,72,18,10,62,16,49,17,58,53,56,39,60,12,5,55,50,66,42,21,73,65,7,33,24,54,30,23,70,34,61,24,9,22,63,37,3,44,36,1,68,8,38,22,4,71,2,52,47,43,41,13,51,59,31,19,35,19,,
76,30,30,76,76,14,19,35,6,76,76,76,20,15,4,76,76,26,76,76,11,18,76,32,76,22,76,76,76,76,76,9,2,76,20,76,24,33,76,76,76,76,76,76,5,12,76,76,76,76,76,27,76,76,6,76,23,8,76,13,21,10,3,76,1,16,76,76,76,76,17,76,25,76,25,76,,
76,38,21,76,76,16,76,Skipped,76,76,35,25,10,37,13,76,25,31,4,76,22,11,48,18,34,23,47,Skipped,76,24,36,14,5,43,46,Skipped,50,25,Skipped,76,14,30,25,40,44,33,Skipped,48,45,32,12,19,Skipped,39,2,42,29,3,76,7,Skipped,20,5,76,1,41,Skipped,Skipped,76,8,76,76,76,35,33,16,,
76,76,76,76,76,13,76,76,76,76,76,76,76,76,11,76,76,76,7,76,76,14,76,76,76,76,76,76,76,76,76,12,5,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,76,76,1,76,76,76,4,76,76,3,76,8,76,76,6,76,2,76,76,76,76,9,76,76,76,76,76,76,,
76,36,28,76,76,17,76,76,76,76,76,76,13,24,9,76,25,33,10,76,19,18,76,16,31,14,76,76,76,26,76,11,6,76,76,76,76,76,76,76,8,76,35,76,76,32,76,76,76,15,7,12,76,76,5,30,76,1,76,3,37,27,4,76,2,34,23,38,76,20,76,76,22,76,29,21,,
42,76,76,76,76,12,76,76,25,76,76,76,76,72,18,4,76,76,8,47,44,3,76,76,69,63,15,76,76,76,76,6,28,45,76,2,75,76,76,6,37,76,76,76,76,71,76,76,36,36,76,76,3,70,21,76,66,18,76,69,76,76,1,9,48,76,76,70,75,13,76,6,73,65,76,14,,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,3,76,76,8,76,76,76,76,76,76,76,76,76,12,4,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,76,76,9,76,76,76,6,76,76,1,76,7,76,76,5,76,2,76,76,76,76,11,76,76,76,76,76,76,,
76,76,17,76,34,14,76,76,76,76,76,32,12,30,11,76,76,37,7,76,18,20,76,13,76,19,76,39,28,76,76,16,5,31,76,76,76,25,76,76,15,29,27,76,76,24,76,76,33,76,8,76,76,76,3,76,76,2,76,6,36,21,4,76,1,26,76,76,22,9,76,40,38,23,35,10,,
Skipped,4,3,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,4,4,3,4,2,Skipped,4,4,1,Skipped,3,2,Skipped,3,4,3,Skipped,3,4,4,4,2,1,4,4,Skipped,4,3,Skipped,Skipped,2,4,4,4,Skipped,3,4,3,Skipped,3,2,3,Skipped,4,1,Skipped,4,1,Skipped,2,4,3,2,Skipped,1,4,Skipped,4,4,2,Skipped,Skipped,4,3,4,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,5,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,9,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
61,27,38,67,54,9,43,60,69,45,61,26,11,19,15,58,28,44,7,51,17,5,33,41,48,11,42,71,37,29,22,17,3,68,32,57,49,30,75,21,14,34,20,46,63,16,74,72,35,24,10,23,52,50,5,47,64,2,66,8,73,31,3,36,1,76,39,53,55,11,56,40,65,36,59,25,,
76,40,18,76,76,14,76,76,76,76,76,76,12,37,9,76,76,76,10,76,15,16,76,17,76,76,76,76,40,76,53,11,5,76,76,76,76,56,76,76,9,76,76,76,76,26,76,76,76,76,7,76,76,27,3,76,23,1,76,8,76,48,4,76,2,76,76,76,76,12,76,76,76,76,31,20,,
76,20,76,76,76,16,76,76,76,76,76,76,17,18,10,76,76,76,1,76,21,11,76,24,76,76,76,76,76,76,23,19,6,76,76,76,76,22,76,76,9,76,76,76,76,14,76,76,76,76,7,12,76,76,5,76,76,3,76,8,76,76,4,76,2,76,76,76,76,13,76,76,76,15,76,76,,
Skipped,35,26,28,Skipped,11,Skipped,68,74,27,69,26,8,34,13,75,55,53,3,75,13,26,54,11,25,35,Skipped,76,Skipped,31,39,8,6,64,Skipped,68,42,45,57,Skipped,7,48,28,35,42,18,64,19,57,25,15,17,71,63,2,Skipped,26,5,50,10,52,38,4,76,1,35,60,Skipped,47,10,Skipped,68,39,13,25,21,,
59,49,27,52,70,8,48,47,56,35,24,38,12,28,17,75,53,46,3,72,10,14,65,18,31,21,64,54,29,32,36,11,7,62,67,55,30,20,76,66,13,40,25,31,57,33,51,45,71,39,4,16,73,23,1,50,22,2,60,9,37,43,5,74,6,42,68,61,41,15,69,68,26,34,58,19,,
76,76,76,76,76,15,76,76,76,76,76,76,15,76,14,76,76,76,2,76,10,9,76,76,76,76,76,76,76,18,76,8,4,76,76,76,76,76,76,76,12,76,76,76,76,76,76,76,76,76,11,76,76,76,6,76,76,3,76,7,76,76,5,76,1,76,76,76,76,16,76,76,76,12,76,17,,
76,76,76,76,76,10,76,76,76,76,76,76,76,25,6,76,76,76,5,76,19,12,76,76,76,76,76,71,76,76,76,18,6,76,76,76,76,76,76,76,10,29,76,76,76,24,76,76,76,76,11,76,76,76,3,76,76,1,76,5,76,76,17,76,2,76,76,76,76,76,76,76,76,76,76,76,,
76,76,76,76,76,12,76,76,76,76,76,76,14,76,7,76,76,76,4,76,16,13,76,15,76,18,76,76,76,76,35,11,5,76,76,76,Skipped,30,76,76,10,76,76,76,76,76,76,76,76,76,9,76,76,76,3,76,Skipped,2,76,8,76,76,6,76,1,76,76,76,76,76,76,76,76,76,76,17,,
40,18,29,59,64,23,36,54,75,62,56,19,13,35,26,53,39,55,4,73,21,9,44,17,46,10,31,76,61,16,30,33,3,65,32,25,48,38,69,71,7,14,45,47,27,20,74,66,72,41,12,24,60,57,6,52,34,1,63,5,15,37,8,67,2,70,28,50,49,11,58,68,51,22,43,42,,
72,42,14,76,43,19,62,44,76,54,43,25,13,42,10,76,38,41,5,76,17,4,69,46,35,21,42,44,58,40,72,11,7,60,42,35,47,30,76,76,12,49,15,37,64,47,70,72,76,28,9,46,73,76,5,61,64,2,53,7,41,48,3,76,1,72,33,70,40,18,56,76,39,42,22,16,,
75,38,23,75,75,13,75,50,75,75,41,28,16,25,8,75,32,48,5,75,9,14,75,22,26,20,75,75,75,42,39,15,4,75,43,75,45,31,75,75,11,30,36,27,29,17,75,37,75,18,10,19,75,33,3,49,44,2,75,7,75,34,6,75,1,75,75,47,40,12,75,75,46,35,24,21,,
20,23,75,32,75,16,76,30,75,75,75,15,14,3,8,75,72,75,6,75,6,75,60,75,75,36,75,68,75,75,75,14,9,75,75,75,36,13,75,75,2,15,29,41,26,5,75,31,72,60,75,14,76,75,2,52,6,1,38,11,75,15,6,75,1,75,58,75,10,10,37,62,32,24,39,18,,
