Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
1074,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1075,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1076,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1077,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1078,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1079,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,2,6
1080,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1081,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,2,6
1082,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,skipped,skipped,2,6
1083,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1084,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1085,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,2,6
1086,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1087,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1088,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,2,6
1089,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1090,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1091,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,2,6
1092,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1093,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1094,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,skipped,2,6
1095,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,2,6
1096,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,2,6
1097,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1098,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,2,6
1099,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,2,6
1100,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped,2,6
