Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num cands,Num seats
LE107,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE108,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE109,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE110,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,9,2
LE111,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE112,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE113,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE114,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE115,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE116,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE117,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE118,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE119,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE120,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE121,AARON BULLEN,LORI MCINTOSH LE,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE122,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,skipped,9,2
LE123,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE124,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE125,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,9,2
LE126,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE127,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE128,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE129,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE130,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE131,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,CHRIS CONDIE,9,2
LE132,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,9,2
LE133,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE134,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,9,2
LE135,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE136,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,9,2
LE137,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE138,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE139,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE140,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE141,MICHELLE MILES,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE142,AARON BULLEN,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE143,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE144,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE145,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,9,2
