Vote,rank1,rank2,rank3,rank4,rank5,rank6,Num cands,Num seats
1079,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,6,2
1080,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1081,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,6,2
1082,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,skipped,skipped,6,2
1083,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,6,2
1084,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1085,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,6,2
1086,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1087,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1088,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,6,2
1089,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1090,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1091,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,6,2
1092,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1093,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
1094,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,skipped,6,2
1095,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,6,2
1096,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,6,2
1097,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1098,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,6,2
1099,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,6,2
1100,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped,6,2
1101,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1102,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1103,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1104,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,6,2
1105,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1106,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,RANDALL FOX,JASON TAYLOR,ANTHONY CHARLES,6,2
1107,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1108,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1109,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1110,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1111,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1112,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1113,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1114,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,6,2
1115,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1116,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1117,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
