ballotID,Precinct,Ballot Style,rank1,rank2,rank3,Num cands,Num seats
172809,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",3,1
172814,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.",skipped,3,1
172822,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",3,1
172836,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,3,1
172839,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",3,1
172842,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172847,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
172848,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",3,1
172855,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
172865,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
172871,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172874,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172875,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",3,1
172881,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
172898,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
172899,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,3,1
172902,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172907,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
172908,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172910,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.",skipped,3,1
172911,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,3,1
172914,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.",skipped,3,1
172915,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
172918,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",3,1
172925,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.",skipped,3,1
172931,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
172934,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172937,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
172938,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
172939,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172945,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172950,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172952,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
172953,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,3,1
172954,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",3,1
172959,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172960,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
172967,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",3,1
172968,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.",skipped,3,1
172973,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,3,1
172975,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",3,1
172977,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
172981,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
172986,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
172987,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,3,1
172989,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
172990,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
