VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,rank7
PR,Batemans Bay Pre-Poll,14104,Formal,MP,HATCHER Mat,STARMER Karyn,HARRISON N (Tubby),skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14105,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14106,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14107,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14108,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14109,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14110,Formal,MP,HATCHER Mat,WORTHINGTON Alison,GRACE David,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,POLLOCK Rob
PR,Batemans Bay Pre-Poll,14111,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14112,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14113,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14114,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14115,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14116,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14117,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14118,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14119,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14120,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison,SMITH Gary,skipped
PR,Batemans Bay Pre-Poll,14121,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14122,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14123,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14124,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14125,Formal,MP,HATCHER Mat,STARMER Karyn,POLLOCK Rob,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14126,Formal,MP,HATCHER Mat,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,GRACE David,WORTHINGTON Alison,STARMER Karyn
PR,Batemans Bay Pre-Poll,14127,Formal,MP,HATCHER Mat,POLLOCK Rob,HARRISON N (Tubby),skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14128,Formal,MP,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,SMITH Gary,STARMER Karyn,WORTHINGTON Alison,GRACE David
PR,Batemans Bay Pre-Poll,14129,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14130,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14131,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14132,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14133,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14134,Formal,MP,HATCHER Mat,POLLOCK Rob,HARRISON N (Tubby),STARMER Karyn,SMITH Gary,GRACE David,WORTHINGTON Alison
PR,Batemans Bay Pre-Poll,14135,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14136,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14137,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14138,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14139,Formal,MP,HATCHER Mat,STARMER Karyn,GRACE David,HARRISON N (Tubby),skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14140,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14141,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14142,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14143,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,GRACE David,WORTHINGTON Alison
PR,Batemans Bay Pre-Poll,14144,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14145,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14146,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14147,Formal,MP,HATCHER Mat,GRACE David,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob
PR,Batemans Bay Pre-Poll,14148,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14149,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14150,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14151,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14152,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14153,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14154,Formal,MP,HATCHER Mat,WORTHINGTON Alison,SMITH Gary,STARMER Karyn,HARRISON N (Tubby),POLLOCK Rob,GRACE David
PR,Batemans Bay Pre-Poll,14155,Formal,MP,HATCHER Mat,GRACE David,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14156,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14157,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14158,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14159,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14160,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14161,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14162,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14163,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,GRACE David,skipped
PR,Batemans Bay Pre-Poll,14164,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14165,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14166,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14167,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14168,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14169,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,SMITH Gary,HARRISON N (Tubby),WORTHINGTON Alison,GRACE David
PR,Batemans Bay Pre-Poll,14170,Formal,MP,HATCHER Mat,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14171,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14172,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14173,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14174,Formal,MP,HATCHER Mat,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14175,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14176,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14177,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14178,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14179,Formal,MP,HATCHER Mat,STARMER Karyn,HARRISON N (Tubby),skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14180,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14181,Formal,MP,HATCHER Mat,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14182,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14183,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14184,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14185,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14186,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14187,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14188,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14189,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14190,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14191,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14192,Formal,MP,HATCHER Mat,WORTHINGTON Alison,HARRISON N (Tubby),GRACE David,STARMER Karyn,POLLOCK Rob,SMITH Gary
PR,Batemans Bay Pre-Poll,14193,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14194,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14195,Formal,MP,HATCHER Mat,GRACE David,WORTHINGTON Alison,POLLOCK Rob,STARMER Karyn,SMITH Gary,HARRISON N (Tubby)
PR,Batemans Bay Pre-Poll,14196,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14197,Formal,MP,HATCHER Mat,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14198,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14199,Formal,MP,HATCHER Mat,STARMER Karyn,POLLOCK Rob,HARRISON N (Tubby),skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14200,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14201,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14202,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14203,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14204,Formal,MP,HATCHER Mat,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14205,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14206,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14207,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14208,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14209,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14210,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14211,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14212,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14213,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14214,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14215,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14216,Formal,MP,HATCHER Mat,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison
PR,Batemans Bay Pre-Poll,14217,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14218,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14219,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14220,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14221,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14222,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14223,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14224,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14225,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,WORTHINGTON Alison,HARRISON N (Tubby),SMITH Gary,GRACE David
PR,Batemans Bay Pre-Poll,14226,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14227,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14228,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14229,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14230,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14231,Formal,MP,HATCHER Mat,HARRISON N (Tubby),SMITH Gary,POLLOCK Rob,GRACE David,WORTHINGTON Alison,STARMER Karyn
PR,Batemans Bay Pre-Poll,14232,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14233,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14234,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14235,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14236,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14237,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14238,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14239,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14240,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14241,Formal,MP,HATCHER Mat,GRACE David,WORTHINGTON Alison,STARMER Karyn,HARRISON N (Tubby),skipped,skipped
PR,Batemans Bay Pre-Poll,14242,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14243,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14244,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14245,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14246,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14247,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14248,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14249,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14250,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14251,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14252,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14253,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14254,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14255,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14256,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14257,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14258,Formal,MP,HATCHER Mat,WORTHINGTON Alison,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob
PR,Batemans Bay Pre-Poll,14259,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14260,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14261,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14262,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14263,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14264,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14265,Formal,MP,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,SMITH Gary,WORTHINGTON Alison,GRACE David,STARMER Karyn
PR,Batemans Bay Pre-Poll,14266,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14267,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14268,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14269,Formal,MP,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,SMITH Gary,GRACE David,WORTHINGTON Alison
PR,Batemans Bay Pre-Poll,14270,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14271,Formal,MP,HATCHER Mat,WORTHINGTON Alison,GRACE David,STARMER Karyn,POLLOCK Rob,skipped,skipped
PR,Batemans Bay Pre-Poll,14272,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14273,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14274,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14275,Formal,MP,HATCHER Mat,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14276,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14277,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14278,Formal,MP,GRACE David,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,skipped,skipped
PR,Batemans Bay Pre-Poll,14279,Formal,MP,GRACE David,STARMER Karyn,HATCHER Mat,POLLOCK Rob,SMITH Gary,HARRISON N (Tubby),WORTHINGTON Alison
PR,Batemans Bay Pre-Poll,14280,Formal,MP,GRACE David,STARMER Karyn,WORTHINGTON Alison,HATCHER Mat,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob
PR,Batemans Bay Pre-Poll,14281,Formal,MP,GRACE David,HATCHER Mat,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison
PR,Batemans Bay Pre-Poll,14282,Formal,MP,GRACE David,HATCHER Mat,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison,POLLOCK Rob
PR,Batemans Bay Pre-Poll,14283,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14284,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14285,Formal,MP,GRACE David,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,skipped,skipped
PR,Batemans Bay Pre-Poll,14286,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14287,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14288,Formal,MP,GRACE David,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,skipped,skipped
PR,Batemans Bay Pre-Poll,14289,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14290,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14291,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14292,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14293,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14294,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14295,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14296,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14297,Formal,MP,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn
PR,Batemans Bay Pre-Poll,14298,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14299,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14300,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14301,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14302,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14303,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14304,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14305,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14306,Formal,MP,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn
PR,Batemans Bay Pre-Poll,14307,Formal,MP,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14308,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14309,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14310,Formal,MP,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14311,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
PR,Batemans Bay Pre-Poll,14312,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
