VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5
Enrolment/NAMAV,Enrolment/NAMAV,13867,Formal,MP,NAPOLI Anne,CURRAN Doug,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13868,Formal,MP,NAPOLI Anne,ZAPPACOSTA Dino,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13869,Formal,MP,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13870,Formal,MP,NAPOLI Anne,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13871,Formal,MP,NAPOLI Anne,CURRAN Doug,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13872,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13873,Formal,MP,NAPOLI Anne,MERCURI Rina,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13874,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13875,Formal,MP,NAPOLI Anne,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13876,Formal,MP,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),MERCURI Rina,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13877,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13878,Formal,MP,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13879,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13880,Formal,MP,NAPOLI Anne,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13881,Formal,MP,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,CURRAN Doug,NAPOLI Anne,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13882,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13883,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13884,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13885,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13886,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13887,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13888,Formal,MP,LA ROCCA Mariacarmina (Carmel),MERCURI Rina,NAPOLI Anne,ZAPPACOSTA Dino,CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13889,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13890,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13891,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13892,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13893,Formal,MP,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13894,Formal,MP,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13895,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13896,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13897,Formal,MP,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,NAPOLI Anne,CURRAN Doug,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13898,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13899,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13900,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13901,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13902,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13903,Formal,MP,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,NAPOLI Anne,MERCURI Rina,CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13904,Formal,MP,LA ROCCA Mariacarmina (Carmel),NAPOLI Anne,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13905,Formal,MP,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13906,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13907,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13908,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13909,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13910,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13911,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13912,Formal,MP,CURRAN Doug,ZAPPACOSTA Dino,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13913,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
