Index,rank1,rank2,rank3,numSeats,numCands
VI219,JULIE FULLMER,skipped,skipped,1,3
VI220,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI221,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI222,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI223,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI224,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI225,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI226,JULIE FULLMER,skipped,skipped,1,3
VI227,JULIE FULLMER,skipped,skipped,1,3
VI229,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI230,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI231,JULIE FULLMER,skipped,skipped,1,3
VI232,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI233,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI234,JULIE FULLMER,skipped,skipped,1,3
VI235,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI236,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI237,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI238,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI239,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI240,JULIE FULLMER,skipped,skipped,1,3
VI241,JULIE FULLMER,skipped,skipped,1,3
VI242,JULIE FULLMER,skipped,skipped,1,3
VI243,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI244,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI245,JULIE FULLMER,skipped,skipped,1,3
VI246,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI247,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI248,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI249,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI250,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI251,JULIE FULLMER,skipped,skipped,1,3
VI252,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI253,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,1,3
VI254,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI255,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI256,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,1,3
VI257,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI258,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,1,3
VI259,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI260,JULIE FULLMER,skipped,skipped,1,3
VI261,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI262,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI263,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI264,JULIE FULLMER,skipped,skipped,1,3
VI265,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI266,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI267,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI268,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,1,3
VI269,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI270,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI271,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI272,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI273,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI274,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI275,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI276,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,1,3
VI277,JULIE FULLMER,skipped,skipped,1,3
VI278,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI279,JULIE FULLMER,skipped,skipped,1,3
VI280,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI281,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI282,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI283,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI284,JULIE FULLMER,skipped,skipped,1,3
VI285,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI286,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI287,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI288,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI289,JULIE FULLMER,skipped,skipped,1,3
VI290,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI291,MARC BRIMHALL,skipped,skipped,1,3
VI292,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI293,JULIE FULLMER,skipped,skipped,1,3
VI294,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI295,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI296,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI297,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI298,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI299,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI300,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI301,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI302,JULIE FULLMER,skipped,skipped,1,3
VI303,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI304,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI305,JULIE FULLMER,skipped,skipped,1,3
VI307,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI308,JULIE FULLMER,skipped,skipped,1,3
VI309,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI310,JULIE FULLMER,skipped,skipped,1,3
VI311,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,1,3
VI312,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI313,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI314,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI315,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI316,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI317,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI318,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI319,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI320,JULIE FULLMER,skipped,skipped,1,3
VI321,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI322,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI323,JULIE FULLMER,skipped,skipped,1,3
VI324,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI325,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI326,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI327,JULIE FULLMER,skipped,skipped,1,3
VI328,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,1,3
VI329,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,1,3
VI330,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI331,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI332,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI333,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI334,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI335,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI336,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI337,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI338,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI339,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI340,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI341,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI342,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI343,JULIE FULLMER,skipped,skipped,1,3
VI344,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI345,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI346,MARC BRIMHALL,JULIE FULLMER,skipped,1,3
VI347,JULIE FULLMER,skipped,skipped,1,3
