Index,rank1,rank2,rank3,rank4,numSeats,numCands
WH591,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH592,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH593,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH594,JANET LUNT,skipped,skipped,skipped,2,4
WH595,JANET LUNT,skipped,skipped,skipped,2,4
WH596,JANET LUNT,skipped,skipped,skipped,2,4
WH597,JANET LUNT,skipped,skipped,skipped,2,4
WH598,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH599,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH600,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH601,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH602,DOREL B. KYNASTON,TOBY M. HARDING,skipped,skipped,2,4
WH603,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,skipped,2,4
WH604,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH605,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH606,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH607,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH608,DOREL B. KYNASTON,TOBY M. HARDING,skipped,skipped,2,4
WH609,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH610,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH611,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH612,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH613,DOREL B. KYNASTON,skipped,skipped,skipped,2,4
WH614,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH615,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH616,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH617,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,skipped,2,4
WH619,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH620,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH621,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH622,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH623,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH624,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH625,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH626,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH627,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH628,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH629,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH630,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH631,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH632,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH633,TOBY M. HARDING,JANET LUNT,skipped,skipped,2,4
WH634,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH635,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH636,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH637,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH638,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH639,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,skipped,2,4
WH640,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH641,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,skipped,2,4
WH642,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH643,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH644,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH647,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH648,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH649,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH650,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH651,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH652,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH653,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,2,4
WH654,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,2,4
WH655,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH656,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH657,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH658,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
