voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
6853,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6854,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,4
6855,Graham HOUSTON Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Ahsan KHAN Scottish National Party (SNP),Fayzan REHMAN Scottish Liberal Democrats,Willy STIRLING Scottish Conservative and Unionist,Douglas DODDS Scottish Conservative and Unionist,Ewan DILLON Scottish Labour Party,Bill COWAN Alba Party for independence,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Alastair George MAJURY Independent,4
6856,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6857,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6858,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6859,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6860,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6861,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6862,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6863,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6864,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6865,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
