voterId,rank1,rank2,rank3,rank4,numSeats,numCands
485,Con,LD,SNP,Lab,3,4
486,Con,LD,SNP,Lab,3,4
487,Con,LD,SNP,Lab,3,4
488,Con,LD,SNP,Lab,3,4
489,Con,LD,SNP,Lab,3,4
490,Con,LD,SNP,Lab,3,4
491,Con,LD,SNP,Lab,3,4
492,Con,LD,SNP,Lab,3,4
493,Con,LD,SNP,Lab,3,4
494,Con,LD,SNP,Lab,3,4
495,Con,LD,SNP,Lab,3,4
496,Con,LD,SNP,Lab,3,4
497,Con,LD,SNP,Lab,3,4
498,Con,LD,SNP,Lab,3,4
499,Con,LD,SNP,Lab,3,4
500,Con,LD,SNP,Lab,3,4
501,Con,LD,SNP,Lab,3,4
502,Con,LD,SNP,Lab,3,4
503,Con,LD,SNP,Lab,3,4
504,Con,LD,SNP,Lab,3,4
505,Con,LD,SNP,Lab,3,4
506,Con,LD,SNP,Lab,3,4
507,Con,LD,SNP,Lab,3,4
508,Con,LD,SNP,Lab,3,4
509,Con,LD,SNP,Lab,3,4
510,Con,LD,SNP,Lab,3,4
511,Con,LD,Lab,skipped,3,4
512,Con,LD,Lab,skipped,3,4
513,Con,LD,Lab,skipped,3,4
514,Con,LD,Lab,skipped,3,4
515,Con,LD,Lab,skipped,3,4
516,Con,LD,Lab,skipped,3,4
517,Con,LD,Lab,skipped,3,4
518,Con,LD,Lab,skipped,3,4
519,Con,LD,Lab,skipped,3,4
520,Con,LD,Lab,skipped,3,4
521,Con,LD,Lab,skipped,3,4
522,Con,LD,Lab,skipped,3,4
523,Con,LD,Lab,skipped,3,4
524,Con,LD,Lab,skipped,3,4
525,Con,LD,Lab,skipped,3,4
526,Con,LD,Lab,skipped,3,4
527,Con,LD,Lab,skipped,3,4
528,Con,LD,Lab,skipped,3,4
529,Con,LD,Lab,skipped,3,4
530,Con,LD,Lab,skipped,3,4
531,Con,LD,Lab,skipped,3,4
532,Con,LD,Lab,skipped,3,4
533,Con,LD,Lab,skipped,3,4
534,Con,LD,Lab,skipped,3,4
535,Con,LD,Lab,skipped,3,4
536,Con,LD,Lab,skipped,3,4
537,Con,LD,Lab,skipped,3,4
538,Con,LD,Lab,skipped,3,4
539,Con,LD,Lab,skipped,3,4
540,Con,LD,Lab,skipped,3,4
541,Con,LD,Lab,skipped,3,4
542,Con,LD,Lab,skipped,3,4
543,Con,LD,Lab,skipped,3,4
544,Con,LD,Lab,skipped,3,4
545,Con,LD,Lab,skipped,3,4
546,Con,LD,Lab,skipped,3,4
547,Con,LD,Lab,skipped,3,4
548,Con,LD,Lab,skipped,3,4
549,Con,LD,Lab,skipped,3,4
550,Con,LD,Lab,skipped,3,4
551,Con,LD,Lab,skipped,3,4
552,Con,LD,Lab,skipped,3,4
553,Con,LD,Lab,skipped,3,4
554,Con,LD,Lab,skipped,3,4
555,Con,LD,Lab,skipped,3,4
556,Con,LD,Lab,skipped,3,4
557,Con,LD,Lab,skipped,3,4
558,Con,LD,Lab,skipped,3,4
559,Con,LD,Lab,skipped,3,4
560,Con,LD,Lab,skipped,3,4
561,Con,LD,Lab,skipped,3,4
562,Con,LD,Lab,skipped,3,4
563,Con,LD,Lab,skipped,3,4
564,Con,LD,Lab,skipped,3,4
565,Con,LD,Lab,skipped,3,4
566,Con,LD,Lab,skipped,3,4
567,Con,LD,Lab,skipped,3,4
568,Con,LD,Lab,skipped,3,4
569,Con,LD,Lab,skipped,3,4
570,Con,LD,Lab,skipped,3,4
571,Con,LD,Lab,skipped,3,4
572,Con,LD,Lab,skipped,3,4
573,Con,LD,Lab,skipped,3,4
574,Con,LD,Lab,SNP,3,4
575,Con,LD,Lab,SNP,3,4
576,Con,LD,Lab,SNP,3,4
577,Con,LD,Lab,SNP,3,4
578,Con,LD,Lab,SNP,3,4
579,Con,LD,Lab,SNP,3,4
580,Con,LD,Lab,SNP,3,4
581,Con,LD,Lab,SNP,3,4
582,Con,LD,Lab,SNP,3,4
583,Con,LD,Lab,SNP,3,4
584,Con,LD,Lab,SNP,3,4
585,Con,LD,Lab,SNP,3,4
586,Con,LD,Lab,SNP,3,4
587,Con,LD,Lab,SNP,3,4
588,Con,LD,Lab,SNP,3,4
589,Con,LD,Lab,SNP,3,4
590,Con,LD,Lab,SNP,3,4
591,Con,LD,Lab,SNP,3,4
