voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
4046,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4047,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4048,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4049,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4050,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4051,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4052,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4053,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4054,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4055,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,Ian WREN Independent,Anne Julia CAMPBELL Scottish Green Party,David FAIRWEATHER Independent,skipped,skipped,skipped,4
4056,Serena Mary COWDY Scottish National Party (SNP),Martin SHEPHERD Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,Rod FALCONER Scottish Liberal Democrats,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,4
