,filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
167,scotland_0.8-borda_scores_no_bottom_third,162,scotland,0.8,borda_scores_no_bottom_third,1.0,,,3.0,,117.0,,,53.0,,,1.0,53.0,,5.0
176,scotland_0.8-mention_scores_no_bottom_third,173,scotland,0.8,mention_scores_no_bottom_third,12.0,,,1.0,,88.0,,,112.0,,,12.0,112.0,2.0,22.0
1,civs_0.6-borda_scores,196,civs,0.6,borda_scores,,194.0,,,,,,,4.0,,,,,1.0,
27,civs_0.1-mention_scores_no_bottom_third,204,civs,0.1,mention_scores_no_bottom_third,40.0,158.0,78.0,83.0,77.0,82.0,57.0,65.0,37.0,64.0,65.0,60.0,62.0,50.0,34.0
2,civs_0.7-borda_scores,255,civs,0.7,borda_scores,1.0,251.0,,,,,,,5.0,,,1.0,,1.0,
16,civs_0.2-mention_scores,268,civs,0.2,mention_scores,67.0,194.0,106.0,109.0,105.0,126.0,83.0,97.0,68.0,94.0,97.0,91.0,91.0,85.0,61.0
19,civs_0.6-borda_scores_no_bottom_third,281,civs,0.6,borda_scores_no_bottom_third,,277.0,,,,,,,5.0,,,,,1.0,2.0
4,civs_0.8-borda_scores,321,civs,0.8,borda_scores,1.0,303.0,,,,2.0,,,17.0,,,1.0,,1.0,1.0
5,civs_0.9-borda_scores,359,civs,0.9,borda_scores,3.0,332.0,,,,3.0,,1.0,28.0,,,1.0,2.0,3.0,5.0
17,civs_0.3-mention_scores,374,civs,0.3,mention_scores,98.0,271.0,145.0,149.0,146.0,171.0,116.0,135.0,97.0,130.0,135.0,129.0,127.0,123.0,87.0
34,civs_0.2-mention_scores_no_bottom_third,421,civs,0.2,mention_scores_no_bottom_third,118.0,326.0,179.0,187.0,179.0,196.0,137.0,159.0,107.0,155.0,159.0,149.0,150.0,133.0,102.0
20,civs_0.7-borda_scores_no_bottom_third,433,civs,0.7,borda_scores_no_bottom_third,3.0,417.0,,,,,,,26.0,,,1.0,,2.0,9.0
179,scotland_0.9-mention_scores_no_bottom_third,441,scotland,0.9,mention_scores_no_bottom_third,63.0,29.0,9.0,57.0,9.0,323.0,26.0,29.0,239.0,29.0,29.0,63.0,239.0,72.0,80.0
12,civs_0.4-mention_scores,458,civs,0.4,mention_scores,128.0,324.0,184.0,188.0,184.0,216.0,152.0,171.0,124.0,166.0,171.0,165.0,164.0,160.0,114.0
170,scotland_0.9-borda_scores_no_bottom_third,480,scotland,0.9,borda_scores_no_bottom_third,16.0,1.0,,28.0,,379.0,1.0,1.0,165.0,1.0,1.0,16.0,165.0,8.0,32.0
15,civs_0.5-mention_scores,511,civs,0.5,mention_scores,142.0,355.0,198.0,203.0,199.0,236.0,167.0,187.0,143.0,182.0,187.0,181.0,179.0,174.0,128.0
10,civs_0.6-mention_scores,578,civs,0.6,mention_scores,156.0,400.0,213.0,218.0,214.0,249.0,181.0,202.0,165.0,197.0,202.0,196.0,195.0,190.0,140.0
35,civs_0.3-mention_scores_no_bottom_third,614,civs,0.3,mention_scores_no_bottom_third,215.0,492.0,278.0,288.0,279.0,305.0,218.0,256.0,204.0,248.0,256.0,248.0,249.0,230.0,195.0
11,civs_0.7-mention_scores,635,civs,0.7,mention_scores,168.0,439.0,226.0,232.0,227.0,266.0,191.0,217.0,180.0,209.0,217.0,207.0,208.0,205.0,156.0
13,civs_0.8-mention_scores,658,civs,0.8,mention_scores,171.0,459.0,228.0,234.0,229.0,267.0,193.0,221.0,185.0,213.0,221.0,210.0,211.0,208.0,159.0
14,civs_0.9-mention_scores,674,civs,0.9,mention_scores,175.0,474.0,233.0,239.0,234.0,271.0,197.0,225.0,189.0,217.0,225.0,214.0,215.0,213.0,163.0
22,civs_0.8-borda_scores_no_bottom_third,700,civs,0.8,borda_scores_no_bottom_third,31.0,632.0,,1.0,,8.0,1.0,1.0,105.0,1.0,1.0,2.0,1.0,4.0,62.0
30,civs_0.4-mention_scores_no_bottom_third,805,civs,0.4,mention_scores_no_bottom_third,341.0,630.0,409.0,420.0,409.0,448.0,337.0,390.0,315.0,380.0,390.0,378.0,380.0,360.0,319.0
33,civs_0.5-mention_scores_no_bottom_third,950,civs,0.5,mention_scores_no_bottom_third,446.0,739.0,500.0,518.0,505.0,546.0,430.0,492.0,439.0,481.0,492.0,479.0,483.0,468.0,432.0
23,civs_0.9-borda_scores_no_bottom_third,1094,civs,0.9,borda_scores_no_bottom_third,112.0,916.0,,9.0,,56.0,13.0,22.0,288.0,17.0,21.0,28.0,29.0,34.0,179.0
28,civs_0.6-mention_scores_no_bottom_third,1138,civs,0.6,mention_scores_no_bottom_third,590.0,885.0,611.0,630.0,619.0,650.0,542.0,614.0,593.0,605.0,614.0,608.0,614.0,589.0,575.0
29,civs_0.7-mention_scores_no_bottom_third,1323,civs,0.7,mention_scores_no_bottom_third,744.0,1044.0,741.0,761.0,751.0,784.0,669.0,763.0,759.0,745.0,763.0,752.0,760.0,732.0,738.0
31,civs_0.8-mention_scores_no_bottom_third,1479,civs,0.8,mention_scores_no_bottom_third,897.0,1203.0,880.0,895.0,882.0,906.0,793.0,902.0,919.0,884.0,902.0,891.0,896.0,878.0,890.0
32,civs_0.9-mention_scores_no_bottom_third,1602,civs,0.9,mention_scores_no_bottom_third,1042.0,1323.0,1024.0,1041.0,1030.0,1038.0,925.0,1046.0,1069.0,1032.0,1046.0,1035.0,1040.0,1020.0,1038.0
