Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
AD: 53 ED: 019,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,skipped,skipped,skipped,5,1
AD: 53 ED: 038,DEM ABS Ballot Style 31,2021P3V1_ABS,Scott Murphy,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 038,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,Lutchi Gayot,Andy J. Marte,skipped,5,1
AD: 53 ED: 038,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,Lutchi Gayot,Andy J. Marte,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Scott Murphy,Lutchi Gayot,Andy J. Marte,Jennifer Gutierrez,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,writein,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 086,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
