rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
17,8,21,9,19,24,26,11,20,16,13,27,22,14,6,5,7,18,12,23,10,28,3,29,1,2,15,25,4,,
23,10,20,11,13,25,29,16,6,7,18,24,14,8,12,3,9,26,15,19,17,22,2,28,1,4,27,21,5,,
29,29,29,3,29,29,2,1,29,29,29,29,29,29,1,29,29,29,29,29,1,29,29,29,29,1,29,29,29,,
28,13,11,1,7,23,26,24,12,25,6,9,5,17,3,27,20,22,10,16,8,6,21,19,4,2,15,14,29,,
29,7,14,1,11,29,29,29,8,29,6,21,4,18,12,3,10,17,2,22,19,29,9,16,13,5,29,15,20,,
21,9,23,8,16,25,20,11,22,15,13,24,19,17,7,3,6,27,14,26,12,18,5,28,2,4,10,29,1,,
29,9,29,11,29,29,29,15,13,29,29,29,29,29,12,4,10,29,29,29,29,29,5,29,1,2,29,29,3,,
13,12,29,11,29,29,29,4,29,3,11,29,29,29,10,2,29,29,11,29,5,29,8,29,7,4,6,29,1,,
17,6,29,12,11,18,12,8,11,29,29,29,12,7,9,4,10,29,29,16,12,29,2,29,1,3,29,29,5,,
29,7,9,11,29,29,13,29,29,10,29,29,29,6,12,3,8,29,29,29,1,29,4,29,2,3,29,29,5,,
10,13,12,1,Skipped,Skipped,Skipped,11,Skipped,4,16,Skipped,Skipped,14,5,7,3,Skipped,15,Skipped,17,Skipped,8,Skipped,6,2,Skipped,Skipped,9,,
28,15,18,9,13,23,29,12,16,14,10,27,24,8,7,2,6,20,11,22,17,21,1,26,4,5,19,24,3,,
14,11,21,12,10,29,24,9,16,13,17,22,29,29,7,2,6,20,18,19,8,23,5,29,3,4,15,29,1,,
29,29,29,9,7,29,29,29,8,10,29,12,29,29,9,4,6,11,8,29,29,29,1,29,2,3,29,29,5,,
25,8,15,9,14,16,29,18,17,5,12,26,20,11,7,6,10,24,13,22,19,28,2,21,1,4,23,27,3,,
17,12,27,7,18,21,24,19,15,4,13,22,23,10,9,3,5,25,16,26,20,11,8,29,1,6,14,28,2,,
11,23,14,17,22,18,29,9,20,21,16,15,10,24,4,1,7,26,5,19,8,28,13,25,3,12,6,27,2,,
29,11,6,18,21,17,26,9,25,20,8,27,16,12,15,3,7,23,14,10,19,24,2,13,1,5,22,28,4,,
11,10,26,7,18,24,29,13,15,6,25,22,21,12,9,1,8,19,17,23,20,16,1,28,1,1,14,27,1,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,9,29,29,29,29,29,29,8,29,7,5,29,29,6,29,29,1,29,2,4,29,29,3,,
Skipped,29,23,26,10,25,29,28,Skipped,1,29,29,29,Skipped,23,27,18,29,23,14,22,Skipped,22,Skipped,4,28,29,26,28,,
29,2,29,29,29,29,29,3,29,29,29,29,29,29,29,2,29,29,29,29,1,29,2,29,2,2,29,29,2,,
29,29,29,11,14,29,29,29,29,8,29,29,10,29,3,2,6,29,29,29,29,29,10,29,1,4,29,29,5,,
20,10,Skipped,6,13,Skipped,24,12,19,8,14,21,18,11,9,5,7,Skipped,15,Skipped,17,23,1,Skipped,2,3,16,22,4,,
