rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,numSeats,numCands
43,80,76,64,60,10,35,33,14,48,9,69,16,77,19,51,8,36,29,63,79,50,23,18,70,49,Skipped,6,66,68,25,15,73,32,37,45,44,22,55,1,39,5,83,72,65,27,59,21,4,74,54,2,30,11,46,38,58,12,47,81,34,82,41,62,57,84,40,78,3,56,28,57,53,7,17,42,20,31,24,26,13,61,75,71,,
55,24,47,48,59,11,18,50,19,39,13,69,20,70,30,64,8,38,45,60,40,65,45,25,52,53,40,1,69,71,28,12,74,32,31,51,60,32,52,4,23,11,75,48,75,55,74,24,1,72,64,3,27,10,70,29,62,7,52,76,47,70,57,59,69,74,49,46,6,55,17,71,55,10,22,51,19,23,84,20,5,71,41,52,,
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,
84,35,84,84,84,15,60,58,25,84,32,84,29,84,60,84,18,84,65,84,84,84,84,59,84,84,84,2,84,84,60,84,84,50,70,84,84,27,84,3,65,22,84,84,84,84,84,56,1,84,84,84,84,30,84,84,84,16,84,84,84,84,84,84,84,84,23,84,14,72,62,84,84,13,28,84,8,49,84,60,6,84,84,84,,
67,21,84,84,84,6,84,67,44,44,15,84,47,84,48,84,7,84,84,84,84,84,49,45,84,84,18,3,84,84,38,12,84,32,84,80,50,67,84,1,42,13,84,84,84,25,84,44,5,84,84,2,46,7,84,84,84,14,55,84,50,84,50,84,84,84,46,84,6,84,30,84,84,6,84,50,9,84,18,40,4,84,84,84,,
Skipped,28,84,84,84,9,22,Skipped,17,Skipped,24,84,23,84,Skipped,Skipped,6,84,Skipped,84,84,Skipped,Skipped,Skipped,84,Skipped,Skipped,2,84,84,84,11,84,Skipped,84,Skipped,18,26,Skipped,5,84,16,84,84,84,20,84,84,1,84,84,3,12,14,Skipped,84,21,13,Skipped,84,Skipped,84,15,84,84,84,Skipped,84,4,84,19,84,Skipped,10,25,Skipped,8,27,29,Skipped,7,84,84,84,,
84,79,76,84,76,13,43,57,12,44,76,76,23,77,26,40,9,43,45,75,25,74,25,45,83,56,35,3,80,80,43,15,76,83,40,49,42,20,63,4,29,14,76,60,43,30,70,76,1,76,76,2,45,20,40,47,48,76,43,84,40,75,70,76,54,76,60,76,7,45,35,61,40,18,34,40,42,25,40,25,7,76,80,76,,
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,
84,25,84,84,84,12,84,84,84,84,84,84,12,84,30,84,8,84,84,84,84,84,35,84,84,84,43,1,84,84,84,84,84,84,84,63,84,84,84,7,84,11,84,84,84,59,84,84,2,84,84,5,84,10,84,84,30,6,84,84,45,84,31,84,84,84,84,84,4,84,84,84,84,9,84,29,84,84,84,84,3,84,84,84,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,11,Skipped,13,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,6,Skipped,10,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,,
