ballotID,ward,rank1,rank2,numSeats,numCands
1691,200,Cindy Dyballa,skipped,1,2
1698,200,Cindy Dyballa,skipped,1,2
1699,200,Cindy Dyballa,skipped,1,2
1702,200,Cindy Dyballa,skipped,1,2
1709,200,Cindy Dyballa,skipped,1,2
1718,200,Cindy Dyballa,skipped,1,2
1722,200,Cindy Dyballa,skipped,1,2
1741,200,Cindy Dyballa,skipped,1,2
1742,200,Cindy Dyballa,skipped,1,2
1743,200,Cindy Dyballa,skipped,1,2
1755,200,Cindy Dyballa,skipped,1,2
1756,200,Cindy Dyballa,skipped,1,2
1757,200,Cindy Dyballa,skipped,1,2
1778,200,Cindy Dyballa,skipped,1,2
1786,200,Cindy Dyballa,skipped,1,2
1788,200,Cindy Dyballa,skipped,1,2
1789,200,Cindy Dyballa,skipped,1,2
1790,200,Cindy Dyballa,skipped,1,2
1806,200,Cindy Dyballa,skipped,1,2
1809,200,Cindy Dyballa,skipped,1,2
1814,200,Cindy Dyballa,skipped,1,2
1817,200,Cindy Dyballa,skipped,1,2
1820,200,Cindy Dyballa,skipped,1,2
1821,200,Cindy Dyballa,skipped,1,2
1823,200,Cindy Dyballa,skipped,1,2
1827,200,Cindy Dyballa,skipped,1,2
1830,200,Cindy Dyballa,skipped,1,2
1831,200,Cindy Dyballa,skipped,1,2
1834,200,Cindy Dyballa,skipped,1,2
1838,200,Cindy Dyballa,skipped,1,2
1840,200,Cindy Dyballa,skipped,1,2
1841,200,Cindy Dyballa,skipped,1,2
1861,200,Cindy Dyballa,skipped,1,2
1870,200,Cindy Dyballa,skipped,1,2
1871,200,Cindy Dyballa,skipped,1,2
1872,200,Cindy Dyballa,skipped,1,2
1883,200,Cindy Dyballa,skipped,1,2
1884,200,Cindy Dyballa,skipped,1,2
1897,200,Cindy Dyballa,skipped,1,2
1898,200,Cindy Dyballa,skipped,1,2
1902,200,Cindy Dyballa,skipped,1,2
1903,200,Cindy Dyballa,skipped,1,2
1931,200,Cindy Dyballa,skipped,1,2
1932,200,Cindy Dyballa,skipped,1,2
1960,200,Cindy Dyballa,skipped,1,2
1961,200,Cindy Dyballa,skipped,1,2
1977,200,Cindy Dyballa,skipped,1,2
1978,200,Cindy Dyballa,skipped,1,2
1983,200,Cindy Dyballa,skipped,1,2
2000,200,Cindy Dyballa,skipped,1,2
2001,200,Cindy Dyballa,skipped,1,2
2006,200,Cindy Dyballa,skipped,1,2
2034,200,Cindy Dyballa,skipped,1,2
2043,200,Cindy Dyballa,skipped,1,2
2059,200,Cindy Dyballa,skipped,1,2
2061,200,Cindy Dyballa,skipped,1,2
2064,200,Cindy Dyballa,skipped,1,2
2066,200,Cindy Dyballa,skipped,1,2
2096,200,Cindy Dyballa,skipped,1,2
2098,200,Cindy Dyballa,skipped,1,2
2107,200,Cindy Dyballa,skipped,1,2
2115,200,Cindy Dyballa,skipped,1,2
2117,200,Cindy Dyballa,skipped,1,2
2118,200,Cindy Dyballa,skipped,1,2
2119,200,Cindy Dyballa,skipped,1,2
2120,200,Cindy Dyballa,skipped,1,2
2121,200,Cindy Dyballa,skipped,1,2
2122,200,Cindy Dyballa,skipped,1,2
2123,200,Cindy Dyballa,skipped,1,2
