voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
329,Sandy COWIE Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Leslie SINCLAIR Independent,Cameron WHITTLE Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,4
330,Leslie MANSON Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,4
331,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
332,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
333,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
334,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
335,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
336,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
337,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
338,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
339,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
340,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
341,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
342,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
343,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
344,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,skipped,4
345,Barbara FOULKES Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,Beverly CLUBLEY Independent,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,Leslie MANSON Independent,Leslie SINCLAIR Independent,4
346,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,skipped,skipped,skipped,skipped,4
347,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,skipped,skipped,skipped,skipped,4
348,Leslie MANSON Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
349,Leslie MANSON Independent,Ivan TAYLOR Independent,Beverly CLUBLEY Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
350,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,skipped,skipped,4
351,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,Beverly CLUBLEY Independent,skipped,skipped,4
352,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
353,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,4
354,Kristopher LEASK Scottish Greens,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Sandy COWIE Independent,Cameron WHITTLE Independent,4
355,Ivan TAYLOR Independent,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
356,Ivan TAYLOR Independent,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
