voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4457,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,skipped,skipped,1
4458,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,1
4459,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,1
4460,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4461,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4462,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4463,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4464,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4465,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4466,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4467,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4468,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
4469,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,skipped,skipped,skipped,1
