voter_id,rank1,rank2,rank3,num_positions
440,Alistair Mason,Iain Taylor,Glen Reynolds,1
441,Alistair Mason,Iain Taylor,Glen Reynolds,1
442,Alistair Mason,Iain Taylor,Glen Reynolds,1
443,Alistair Mason,Iain Taylor,Glen Reynolds,1
444,Alistair Mason,Iain Taylor,Glen Reynolds,1
445,Alistair Mason,Iain Taylor,Glen Reynolds,1
446,Alistair Mason,Iain Taylor,Glen Reynolds,1
447,Alistair Mason,Iain Taylor,Glen Reynolds,1
448,Alistair Mason,Iain Taylor,Glen Reynolds,1
449,Alistair Mason,Iain Taylor,Glen Reynolds,1
450,Alistair Mason,Iain Taylor,Glen Reynolds,1
451,Alistair Mason,Iain Taylor,Glen Reynolds,1
452,Alistair Mason,Iain Taylor,Glen Reynolds,1
453,Alistair Mason,Iain Taylor,Glen Reynolds,1
454,Alistair Mason,Iain Taylor,Glen Reynolds,1
455,Alistair Mason,Iain Taylor,Glen Reynolds,1
456,Alistair Mason,Iain Taylor,Glen Reynolds,1
457,Alistair Mason,Iain Taylor,Glen Reynolds,1
458,Alistair Mason,Iain Taylor,Glen Reynolds,1
459,Alistair Mason,Iain Taylor,Glen Reynolds,1
460,Alistair Mason,Iain Taylor,Glen Reynolds,1
461,Alistair Mason,Iain Taylor,Glen Reynolds,1
462,Alistair Mason,Iain Taylor,Glen Reynolds,1
463,Alistair Mason,Iain Taylor,Glen Reynolds,1
464,Alistair Mason,Iain Taylor,Glen Reynolds,1
465,Alistair Mason,Iain Taylor,Glen Reynolds,1
466,Alistair Mason,Iain Taylor,Glen Reynolds,1
467,Alistair Mason,Iain Taylor,Glen Reynolds,1
468,Alistair Mason,Iain Taylor,Glen Reynolds,1
469,Alistair Mason,Iain Taylor,Glen Reynolds,1
470,Alistair Mason,Iain Taylor,Glen Reynolds,1
471,Alistair Mason,Iain Taylor,Glen Reynolds,1
472,Alistair Mason,Iain Taylor,Glen Reynolds,1
473,Alistair Mason,Iain Taylor,Glen Reynolds,1
474,Alistair Mason,Iain Taylor,Glen Reynolds,1
475,Alistair Mason,Iain Taylor,Glen Reynolds,1
476,Alistair Mason,Iain Taylor,Glen Reynolds,1
477,Alistair Mason,Iain Taylor,Glen Reynolds,1
478,Alistair Mason,Iain Taylor,Glen Reynolds,1
479,Alistair Mason,Iain Taylor,Glen Reynolds,1
480,Alistair Mason,Iain Taylor,Glen Reynolds,1
481,Alistair Mason,Iain Taylor,Glen Reynolds,1
482,Alistair Mason,Iain Taylor,Glen Reynolds,1
483,Alistair Mason,Iain Taylor,Glen Reynolds,1
484,Alistair Mason,Iain Taylor,Glen Reynolds,1
485,Alistair Mason,Iain Taylor,Glen Reynolds,1
486,Alistair Mason,Iain Taylor,Glen Reynolds,1
487,Alistair Mason,Iain Taylor,Glen Reynolds,1
488,Alistair Mason,Iain Taylor,Glen Reynolds,1
489,Alistair Mason,Iain Taylor,Glen Reynolds,1
490,Alistair Mason,Iain Taylor,Glen Reynolds,1
491,Alistair Mason,Iain Taylor,Glen Reynolds,1
492,Alistair Mason,Iain Taylor,Glen Reynolds,1
493,Alistair Mason,Iain Taylor,Glen Reynolds,1
494,Alistair Mason,Iain Taylor,Glen Reynolds,1
495,Alistair Mason,Iain Taylor,Glen Reynolds,1
496,Alistair Mason,Iain Taylor,Glen Reynolds,1
497,Alistair Mason,Iain Taylor,Glen Reynolds,1
498,Alistair Mason,Iain Taylor,Glen Reynolds,1
499,Alistair Mason,Iain Taylor,Glen Reynolds,1
500,Alistair Mason,Iain Taylor,Glen Reynolds,1
501,Alistair Mason,Iain Taylor,Glen Reynolds,1
