voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4740,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Ann VERNER Scottish National Party (SNP),Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Robin LAWSON Scottish Conservative and Unionist,4
4741,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4742,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4743,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4744,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4745,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4746,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4747,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4748,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4749,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4750,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4751,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4752,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4753,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4754,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4755,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4756,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4757,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4758,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4759,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4760,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
