voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1130,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1131,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1132,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1133,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1134,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1135,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1136,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1137,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1138,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1139,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1140,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1141,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1142,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1143,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1144,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1145,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1146,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1147,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1148,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1149,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1150,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1151,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1152,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1153,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1154,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1155,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1156,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
