voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
73,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,4
74,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,skipped,4
75,Leanne TERVIT Alba Party for independence,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
76,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Garry Kirwin HALDANE Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Leanne TERVIT Alba Party for independence,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Malcolm MACAULAY Scottish Conservative and Unionist,4
77,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Leanne TERVIT Alba Party for independence,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Malcolm MACAULAY Scottish Conservative and Unionist,4
78,Jim LEISHMAN Scottish Labour Party,Leanne TERVIT Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
79,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,4
80,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Derek Gareth GLEN Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,4
81,Aude BOUBAKER-CALDER Scottish Liberal Democrats,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Lewis CAMPBELL Scottish Greens - Think Global Act Local,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,skipped,4
82,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Leanne TERVIT Alba Party for independence,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,4
83,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Malcolm MACAULAY Scottish Conservative and Unionist,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Leanne TERVIT Alba Party for independence,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
84,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,4
85,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,4
86,Jim LEISHMAN Scottish Labour Party,Garry Kirwin HALDANE Scottish Labour Party,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,skipped,skipped,skipped,skipped,4
87,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,4
