,file,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,numCands,plurality,IRV,top-two,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
120,dd3348e2bf.csv,['11'],['1'],['11'],12,['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],"[""'""]",['1'],['11']
121,dcfef48d62.csv,['3'],['3'],['3'],4,['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],"[""'""]","['1', '3']",['3']
122,dcf53e4866.csv,"['1', '2']",['2'],['2'],7,['1'],['1'],['1'],['1'],[],['1'],['2'],['1'],['1'],['1'],"['""']",['1'],"['5', '1', '2']"
123,dc86fd261c.csv,['7'],['7'],['7'],8,['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['['],['1'],['7']
124,dc6f18cbb6.csv,['8'],['8'],['8'],9,['2'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['['],['8'],['8']
125,dbc8e242e2.csv,['1'],['1'],['1'],12,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['1'],['1']
126,db3ddf5cc3.csv,['1'],['1'],['1'],16,['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],"[""'""]",['1'],['15']
127,db3775b628.csv,['2'],['2'],['2'],4,['1'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],"['""']",['1'],['2']
128,db0124f143.csv,['7'],['7'],['7'],8,['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],"[""'""]","['7', '1']",['7']
129,daca76964f.csv,['8'],['1'],['8'],9,['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8'],['8']
130,da90be2357.csv,['4'],['4'],['4'],9,['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],"['""']","['1', '2', '8']",['4']
131,da2d4d9414.csv,['24'],['24'],['24'],25,['24'],['24'],['24'],['24'],['24'],['24'],['24'],['24'],['24'],['24'],"[""'""]",['1'],['24']
132,da23627429.csv,['10'],['10'],['10'],11,['10'],['10'],['10'],['10'],['10'],['10'],['10'],['10'],['10'],['10'],['0'],['10'],['10']
133,da18f8222d.csv,['4'],['4'],['4'],7,['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['['],['1'],['3']
134,da0ca04d90.csv,['1'],['1'],['1'],7,['6'],['4'],['4'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['6'],['1']
135,da05724cb2.csv,['2'],['2'],['2'],8,['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],['2'],[']'],"['7', '1']",['2']
136,d97fba64f5.csv,['7'],['3'],['7'],8,['3'],['3'],['3'],['7'],['3'],['3'],['3'],['3'],['3'],['3'],['['],"['7', '1', '2']",['3']
137,d93972c806.csv,['1'],['1'],['1'],7,['6'],['6'],['6'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]",['1'],['1']
138,d9098e6208.csv,['3'],['3'],['3'],6,['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['3'],['['],['1'],['3']
139,d8d7a70b03.csv,['1'],['1'],['1'],4,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]","['1', '3']",['1']
140,d8adf56c7b.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],[']'],['1'],['6']
141,d87c44015d.csv,['16'],['16'],['16'],17,['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['['],['16'],['16']
142,d808150c63.csv,['10'],['3'],['10'],11,['3'],['3'],['3'],['10'],[],"['3', '10']",['3'],['3'],"['3', '10']",['3'],['['],['10'],"['3', '10']"
143,d803e992cb.csv,['4'],['4'],['4'],5,['1'],['1'],['1'],['4'],[],['4'],['1'],['1'],['4'],['4'],"['""']","['1', '4']","['2', '1', '3', '4']"
144,d8021b9b2e.csv,['1'],['1'],['1'],11,['10'],['6'],['6'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
145,d7f099f2ca.csv,['1'],['1'],['1'],6,['5'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['['],['1'],['1']
146,d7ea251dd9.csv,['13'],['13'],['13'],14,['1'],['13'],['1'],['1'],['13'],['13'],['13'],['13'],['13'],['13'],['1'],['1'],['13']
147,d79155a77d.csv,['11'],['11'],['11'],12,['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],[']'],"['1', '11']",['11']
148,d78853e25d.csv,['18'],['2'],['2'],19,['1'],['1'],['1'],['18'],['18'],['18'],['18'],['18'],['18'],['18'],"['""']",['1'],['18']
149,d75bb2a8e7.csv,['1'],['1'],['1'],6,['5'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['5'],['1']
150,d7046b6c81.csv,['1'],['1'],['1'],18,['7'],['7'],['7'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]",['17'],['1']
151,d6f25256ce.csv,['16'],['16'],['16'],17,['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['['],['16'],['16']
152,d6bdff2069.csv,['1'],['1'],['1'],7,['4'],['3'],['1'],['1'],[],['1'],['1'],['3'],['1'],['1'],['['],['1'],"['2', '1', '3', '4']"
153,d6bd92be8b.csv,['1'],['1'],['1'],8,['7'],['4'],['7'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],[']'],['1'],['1']
154,d6ae11d042.csv,['11'],['11'],['11'],12,['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],['11'],"[""'""]",['1'],['11']
