country,file_name,num_voters,num_cands,num_seats,no_skipped,one_skipped,two_skipped,three_skipped,write_in,truncated,other_skipped,bullet_vote
america,Minnetonka_11022021_Mayor.csv,11010,2,1,0,2619,8391,0,0,0,0,8391
america,Burlington_03072023_CityCouncilEastDistrict.csv,1397,3,1,37,719,641,0,0,0,0,641
america,Burlington_03052024_Mayor.csv,14879,5,1,236,2575,1201,3716,0,0,7151,7151
america,Burlington_03072006_Mayor.csv,9778,6,1,2603,338,1768,3262,0,0,1807,1807
america,Burlington_03072023_CityCouncilSouthDistrict.csv,1687,4,1,20,688,231,748,0,0,0,748
america,Burlington_03072023_CityCouncilCentralDistrict.csv,2145,3,1,55,1099,991,0,0,0,0,991
america,Burlington_03072023_CityCouncilNorthDistrict.csv,3074,2,1,77,2997,0,0,0,0,0,2997
america,Burlington_03032009_Mayor.csv,8976,6,1,2853,926,1802,1914,0,0,1481,1481
america,APA 2002.csv,17094,5,1,10293,362,1803,1901,0,0,2735,2735
america,APA 2003.csv,17956,5,1,3765,6412,1349,2588,0,0,3842,3842
america,APA 2001.csv,17911,5,1,10222,297,1425,2312,0,0,3655,3655
america,APA 2000.csv,20239,5,1,11255,284,1927,3029,0,0,3744,3744
america,APA 2004.csv,16245,5,1,9383,364,1199,2165,0,0,3134,3134
america,APA 2018 President.csv,7809,5,1,4141,254,730,964,0,0,1720,1720
america,APA 2005.csv,14506,5,1,8347,185,1232,2453,0,0,2289,2289
america,APA 2021 President.csv,6940,5,1,3363,203,439,819,0,0,2116,2116
america,APA 2007.csv,13318,5,1,8205,262,1194,1540,0,0,2117,2117
america,APA 2006.csv,16836,5,1,9920,291,1607,2409,0,0,2609,2609
america,APA 1999.csv,17469,5,1,10349,274,1631,2812,0,0,2403,2403
america,APA 1998.csv,18723,5,1,10709,269,1431,2571,0,0,3743,3743
america,APA 2021 BOD race1.csv,5761,3,1,3515,535,1711,0,0,0,0,1711
america,APA 2018 BOD race1.csv,6562,3,1,3913,617,2032,0,0,0,0,2032
america,APA 2021 BOD race2.csv,5715,3,1,3362,498,1855,0,0,0,0,1855
america,APA 2018 BOD race2.csv,6369,3,1,4109,646,1614,0,0,0,0,1614
america,APA 2019 BOD race1.csv,5914,3,1,3491,551,1872,0,0,0,0,1872
america,APA 2020 BOD race1.csv,6354,3,1,4168,798,1388,0,0,0,0,1388
