file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
american/Alaska/Alaska_11082022_HouseDistrict21.csv,"Mears, Donna C.","Wolfe, Forrest M.","Wolfe, Forrest M.",unknown,"Wolfe, Forrest M.","Wolfe, Forrest M.","Wolfe, Forrest M.","Wolfe, Forrest M.","Wolfe, Forrest M.","Wolfe, Forrest M.","Wolfe, Forrest M."
american/Alaska/Alaska_11082022_HouseDistrict21.csv,"Wolfe, Forrest M.","Mears, Donna C.","Mears, Donna C.",unknown,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C."
american/Alaska/Alaska_11082022_HouseDistrict35.csv,none,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
american/Alaska/Alaska_11082022_HouseDistrict35.csv,"McNeill, Ruben A. Jr.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
american/Alaska/Alaska_11082022_HouseDistrict35.csv,"McKinley, Kevin","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
american/Alaska/Alaska_11082022_HouseDistrict35.csv,"Carrick, Ashley E.","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin","McKinley, Kevin"
american/Alaska/Alaska_11082022_HouseDistrict35.csv,"Brown, Kieran C.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
american/Alaska/Alaska_11082022_HouseDistrict19.csv,none,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G."
american/Alaska/Alaska_11082022_HouseDistrict19.csv,"Wyatt, Russell O.","Mina, Genevieve G.","Mina, Genevieve G.",unknown,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G."
american/Alaska/Alaska_11082022_HouseDistrict19.csv,"Mina, Genevieve G.","Wyatt, Russell O.","Wyatt, Russell O.",unknown,"Wyatt, Russell O.","Wyatt, Russell O.","Wyatt, Russell O.","Wyatt, Russell O.","Wyatt, Russell O.","Wyatt, Russell O.","Wyatt, Russell O."
american/Alaska/Alaska_11082022_HouseDistrict31.csv,none,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L."
american/Alaska/Alaska_11082022_HouseDistrict31.csv,"Nash, Kelly","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L."
american/Alaska/Alaska_11082022_HouseDistrict31.csv,"Dibert, Maxine L.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S.","LeBon, Barton S."
american/Alaska/Alaska_11082022_HouseDistrict31.csv,"LeBon, Barton S.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L."
american/Alaska/Alaska_11082022_HouseDistrict25.csv,none,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M."
