voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
139,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,4
140,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,4
141,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,4
142,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,4
143,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,4
144,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),Bridget MUSTARD Scottish Conservative and Unionist,4
145,James ALLAN Scottish Conservative and Unionist,John COWE Independent,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,NEIL CAMERON Scottish National Party (SNP),Bridget MUSTARD Scottish Conservative and Unionist,4
146,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,skipped,skipped,4
147,CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,Bridget MUSTARD Scottish Conservative and Unionist,James ALLAN Scottish Conservative and Unionist,skipped,skipped,4
148,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,John COWE Independent,Bridget MUSTARD Scottish Conservative and Unionist,4
