voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
929,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
930,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
931,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
932,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
933,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
934,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
935,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
936,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
937,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
938,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
939,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
940,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
941,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
